name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
Kirthi's Biryani,Yes,No,3.8/5,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
T3H Cafe,No,No,3.9/5,93,+91 8884726600,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,+91 9880594520,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400
The Vintage Cafe,Yes,No,3.0/5,62,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400
Woodee Pizza,Yes,No,3.7/5,180,+91 7406822844,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500
Cafe Coffee Day,No,No,3.6/5,28,080 32486296,Banashankari,Cafe,,"Cafe, Fast Food",900
My Tea House,Yes,No,3.6/5,62,"080 65975430
+91 7337733798",Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600
Hide Out Cafe,No,No,3.7/5,31,+91 9901481185,Banashankari,Cafe,,Cafe,300
CAFE NOVA,No,No,3.2/5,11,+91 8971090261,Banashankari,Cafe,,"Cafe, Bakery",600
Coffee Tindi,Yes,No,3.8/5,75,+91 9945758046,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200
Sea Green Cafe,No,No,3.3/5,4,+91 9008628448,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",500
Cuppa,No,No,3.3/5,23,+91 9591111123,Banashankari,Cafe,,"Cafe, Fast Food",550
Srinathji's Cafe,No,No,3.8/5,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550
Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Onesta,Yes,Yes,4.6/5,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600
CAFE NOVA,No,No,3.2/5,11,+91 8971090261,Banashankari,Cafe,,"Cafe, Bakery",600
The Blue Wagon - Kitchen,Yes,No,4.6/5,228,"+91 8105485007
+91 8095904280",Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400
Grazers,Yes,Yes,3.9/5,291,080 26650668,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1/5,402,"080 26724489
+91 7406048982",Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500
The Vintage Cafe,Yes,No,3.0/5,62,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400
Smacznego,Yes,No,4.2/5,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550
Srinathji's Cafe,No,No,3.8/5,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550
Cafe Coffee Day,Yes,No,3.2/5,17,+91 9071381447,Jayanagar,Cafe,,"Cafe, Fast Food",900
My Tea House,Yes,No,3.6/5,62,"080 65975430
+91 7337733798",Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600
Cafe Vivacity,Yes,No,3.8/5,90,"080 26768182
+91 9845704455",Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650
Java City,Yes,No,2.6/5,157,080 41654693,Jayanagar,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450
Woodee Pizza,Yes,No,3.7/5,180,+91 7406822844,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500
Cafe Aira,Yes,No,4.1/5,216,"+91 9980570955
080 41121975",Basavanagudi,Cafe,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500
Penthouse Cafe,Yes,No,4.0/5,324,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700
Catch-up-ino,Yes,No,3.9/5,133,"+91 9972988038
+91 9900121238",Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800
Cross Road Cafe,Yes,No,3.9/5,91,080 41247022,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300
Bakers Town,Yes,No,3.8/5,77,+91 8884550298,Kumaraswamy Layout,Cafe,"Freak Shake, Fries, Pasta Alfredo","Cafe, Continental, Fast Food",650
The Airos,Yes,No,4.1/5,130,+91 7026390001,Jayanagar,Cafe,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650
Kirthi's Biryani,Yes,No,3.8/5,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
Coffee Tindi,Yes,No,3.8/5,75,+91 9945758046,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200
Little Cafe,Yes,No,3.7/5,54,+91 9741248269,Basavanagudi,Cafe,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread","Cafe, Beverages",600
1980s Games Cafe,Yes,No,3.4/5,58,080 41677077,Basavanagudi,Cafe,"Maggi, Pasta, Burgers, Sandwiches, Fries","Cafe, Fast Food",400
The Cafe Nuts and Bolts,Yes,No,3.0/5,29,"+91 7019869484
+91 8892454909",Kumaraswamy Layout,Cafe,,"Cafe, Fast Food, Chinese",500
Cafe Mondo,Yes,No,3.7/5,514,080 42088686,Basavanagudi,Cafe,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600
Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Cafe Shuffle,Yes,Yes,4.2/5,150,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600
Steaming Mugs,Yes,No,3.9/5,240,"+91 9341234538
+91 9886414790",Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700
San Churro Cafe,Yes,No,3.8/5,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800
Cafe Ajfan,Yes,No,4.2/5,261,"+91 7022022107
+91 9606791771",Jayanagar,Cafe,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Calzone, Fries","Cafe, Continental, Beverages",700
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,+91 9880594520,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400
The Coffee Shack,Yes,Yes,4.2/5,164,+91 9731644212,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500
San Churro Cafe,Yes,No,3.8/5,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800
Kirthi's Biryani,Yes,No,3.8/5,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
CAFE NOVA,No,No,3.2/5,11,+91 8971090261,Banashankari,Cafe,,"Cafe, Bakery",600
Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Onesta,Yes,Yes,4.6/5,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600
Penthouse Cafe,Yes,No,4.0/5,324,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700
Smacznego,Yes,No,4.2/5,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1/5,402,"080 26724489
+91 7406048982",Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500
Cafe Shuffle,Yes,Yes,4.2/5,150,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600
The Coffee Shack,Yes,Yes,4.2/5,164,+91 9731644212,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500
Caf-Eleven,No,No,4.0/5,424,080 49577715,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450
San Churro Cafe,Yes,No,3.8/5,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800
Cafe Vivacity,Yes,No,3.8/5,90,"080 26768182
+91 9845704455",Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650
Catch-up-ino,Yes,No,3.9/5,133,"+91 9972988038
+91 9900121238",Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800
Kirthi's Biryani,Yes,No,3.8/5,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
T3H Cafe,No,No,3.9/5,93,+91 8884726600,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,+91 9880594520,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400
The Vintage Cafe,Yes,No,3.0/5,62,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400
Hide Out Cafe,No,No,3.7/5,31,+91 9901481185,Banashankari,Cafe,,Cafe,300
CAFE NOVA,No,No,3.2/5,11,+91 8971090261,Banashankari,Cafe,,"Cafe, Bakery",600
Sea Green Cafe,No,No,3.3/5,4,+91 9008628448,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",500
Cafe Coffee Day,No,No,,0,+91 7483258004,Banashankari,Cafe,,"Cafe, Fast Food",900
Srinathji's Cafe,No,No,3.8/5,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550
Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Crave Bit Cafe,No,No,NEW,0,080 42061006,JP Nagar,Cafe,,Cafe,600
Tisano Cafe,Yes,No,3.8/5,54,+91 8884440087,Bannerghatta Road,Cafe,,"Cafe, Fast Food, Chinese, Continental",500
Cafe Kabana,No,Yes,4.0/5,200,"+91 8884044348
+91 8762989999",Bannerghatta Road,Cafe,"Mocktails, Peri Peri Chicken Pizza, Wings, Pasta, English Breakfast, Fries, Jalapeno Cheeseballs","Cafe, Continental",700
Butterly,Yes,No,3.9/5,102,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450
Cafe Conico,No,No,NEW,0,+91 9747007662,Bannerghatta Road,Cafe,,"Cafe, Beverages",600
Black Mug Cafe,Yes,No,3.7/5,171,"+91 9845561119
+91 8095257151",Bannerghatta Road,Cafe,Coffee,Cafe,300
#refuel,Yes,No,3.7/5,37,+91 8971227222,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400
Vaho Kafe & Pressery,No,No,3.9/5,125,"+91 9845687999
080 41494199",Bannerghatta Road,Cafe,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500
Dreamcatcher,Yes,No,3.9/5,49,"+91 7090470823
+91 7996623818",Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600
Cafe Coffee Day,No,No,3.6/5,19,+91 9071381530,Bannerghatta Road,Cafe,,"Cafe, Fast Food",900
Cafe Arabica,No,No,3.8/5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700
Starbucks,No,No,3.9/5,52,,Bannerghatta Road,Cafe,,"Cafe, Desserts",700
Kalmane Koffees,No,No,3.9/5,78,+91 9972900494,Bannerghatta Road,Cafe,"Brownie, Filter Coffee",Cafe,350
Shee-Sha Cafe,No,Yes,3.6/5,39,+91 9739533445,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, North Indian, Chinese, Continental",800
Brews N Bites,Yes,No,2.7/5,48,+91 9886791151,Bannerghatta Road,"Quick Bites, Cafe",Thin Crust Pizza,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650
D2V Cafe,No,No,3.6/5,13,"+91 9886986111
+91 8550051111",Bannerghatta Road,Cafe,,Cafe,700
Wellness Cafe,No,No,,0,+91 9900459444,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400
Cafe Talk,No,No,3.3/5,14,+91 9739174185,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, Continental, North Indian, Bakery, Desserts",700
Cafe Choco Craze,No,No,3.7/5,9,"080 41713666
+91 8970970108",Bannerghatta Road,Cafe,,"Cafe, Fast Food, Desserts",400
Slate Cafe,Yes,No,4.1/5,46,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600
Dialogues,No,No,4.0/5,129,+91 8800946279,JP Nagar,Cafe,"Mayo Sandwich, Pasta, Egg Sandwich, Coffee, Potato Wedges, Vegetable Noodles, Fries","Cafe, Continental",600
Cafe Zuppa,Yes,No,NEW,0,"+91 9845266234
+91 9980003501",JP Nagar,Cafe,,"Cafe, Pizza, Fast Food",450
Mudpipe Cafe,Yes,Yes,3.9/5,727,+91 9448056565,JP Nagar,Cafe,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers","Cafe, Continental, North Indian",800
Crave Bit Cafe,No,No,NEW,0,080 42061006,JP Nagar,Cafe,,Cafe,600
TAB - Take A Break,No,No,4.1/5,521,"+91 9535133088
+91 9448157110",JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550
Biggies Burger 'n' More,Yes,No,4.1/5,203,"+91 9740962288
080 41145111",JP Nagar,"Quick Bites, Cafe","Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges","Cafe, Burger, Beverages",650
Onesta,Yes,Yes,4.4/5,4381,"+91 8904001150
+91 8904001151",JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600
Cafe Potpourri,Yes,No,3.7/5,131,"+91 8884553680
+91 7026274274",JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400
De Oxford Cafe,No,No,3.7/5,34,080 48530740,JP Nagar,Cafe,,"Cafe, Beverages, Fast Food",500
Vinaya Coffee Moments,Yes,No,3.7/5,46,"+91 9538699211
080 49566825",JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta","Burger, Cafe, Desserts, Sandwich, Italian",450
Brew Point,Yes,No,3.6/5,10,+91 9741010084,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500
The Cravery,Yes,No,2.6/5,18,+91 8042008011,JP Nagar,Cafe,,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500
Cuppa,No,No,3.4/5,48,080 40939471,JP Nagar,Cafe,"Coffee, Potato Wedges, Tea","Cafe, Fast Food",550
Anju's Cafe,No,No,3.4/5,6,+91 9845036605,JP Nagar,Cafe,,"Cafe, North Indian",600
Furry Fairy Paw Paradise,No,No,,0,"+91 9901222032
+91 9986450438",JP Nagar,Cafe,,Cafe,500
Skytouch Le Cafe,Yes,No,3.7/5,127,"080 40932483
+91 9740848803",JP Nagar,Cafe,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles","Cafe, Italian, Desserts",700
Woodee Pizza,Yes,No,2.7/5,85,+91 7406827272,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500
Hearts Unlock Cafe,No,No,3.2/5,11,"+91 9008143437
+91 7259710298",BTM,Cafe,,"Cafe, Healthy Food",500
Kullad Cafe,Yes,No,3.9/5,326,"+91 8861570148
+91 9972089231",BTM,Cafe,"Poha, Coffee, Chai, Rolls, Ginger Tea, Aloo Paratha, Elaichi Tea","North Indian, Cafe, Fast Food, Beverages",200
Onesta,Yes,Yes,4.4/5,4381,"+91 8904001150
+91 8904001151",JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600
Cafe Potpourri,Yes,No,3.7/5,131,"+91 8884553680
+91 7026274274",JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400
PHEW (Play Hard Eat Wild),Yes,Yes,3.9/5,486,+91 9365075799,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700
Dreamcatcher,Yes,No,3.9/5,49,"+91 7090470823
+91 7996623818",Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600
Slate Cafe,Yes,No,4.1/5,46,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600
Pancuzzi,Yes,No,4.2/5,169,+91 9742737794,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600
Cafe Coffee Day,Yes,No,3.7/5,26,+91 9342303654,Bannerghatta Road,Cafe,,"Cafe, Fast Food",900
#refuel,Yes,No,3.7/5,37,+91 8971227222,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400
Biggies Burger 'n' More,Yes,No,4.1/5,203,"+91 9740962288
080 41145111",JP Nagar,"Quick Bites, Cafe","Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges","Cafe, Burger, Beverages",650
Butterly,Yes,No,3.9/5,102,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450
Crafted Plate,Yes,Yes,4.2/5,237,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600
Black Mug Cafe,Yes,No,3.7/5,171,"+91 9845561119
+91 8095257151",Bannerghatta Road,Cafe,Coffee,Cafe,300
Vinaya Coffee Moments,Yes,No,3.7/5,46,"+91 9538699211
080 49566825",JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta","Burger, Cafe, Desserts, Sandwich, Italian",450
Trippy Paradise,Yes,No,2.6/5,59,"+91 9886525634
+91 7406615506",BTM,Cafe,,Cafe,900
Bun Town,Yes,No,4.0/5,203,080 26686499,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Donut, Cup Cake","Cafe, Bakery",500
Cafe Zuppa,Yes,No,NEW,0,"+91 9845266234
+91 9980003501",JP Nagar,Cafe,,"Cafe, Pizza, Fast Food",450
Woodee Pizza,Yes,No,2.7/5,85,+91 7406827272,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500
Tisano Cafe,Yes,No,3.8/5,54,+91 8884440087,Bannerghatta Road,Cafe,,"Cafe, Fast Food, Chinese, Continental",500
On The Nose,Yes,No,3.8/5,613,"080 42008978
+91 9886625960",BTM,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600
Brew Point,Yes,No,3.6/5,10,+91 9741010084,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500
Ruh's Cafe,Yes,No,4.1/5,463,"+91 9986271611
+91 9844803695",BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500
Eatery Have U Been,Yes,No,3.4/5,36,+91 9743524748,BTM,"Cafe, Quick Bites",,"Cafe, Chinese, Fast Food, Burger, North Indian",500
Willys Top Cafe,Yes,No,4.0/5,308,"+91 7795808555
00 09176703991",Jayanagar,Cafe,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries","Cafe, Continental, Asian",750
Brews N Bites,Yes,No,2.7/5,48,+91 9886791151,Bannerghatta Road,"Quick Bites, Cafe",Thin Crust Pizza,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650
Skytouch Le Cafe,Yes,No,3.7/5,127,"080 40932483
+91 9740848803",JP Nagar,Cafe,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles","Cafe, Italian, Desserts",700
Mudpipe Cafe,Yes,Yes,3.9/5,727,+91 9448056565,JP Nagar,Cafe,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers","Cafe, Continental, North Indian",800
